# 笪骏-不记声调的音节频率(2004, 2010更新)
# 共339个音节
# https://lingua.mtsu.edu/chinese-computing/phonology/syllable.php
#
# Serial number	Syllable	frequency	Phonemes

290	shou	803601	u
291	shu	867809	u
292	shua	13882	ua
293	shuai	26859	uai
294	shuan	3605	uan
295	shuang	76927	uaN
296	shui	277968	ui
297	shun	42354	un
298	shuo	884288	u
299	si	1055744	s
300	song	152392	suN
301	sou	29413	su
302	su	318074	su
303	suan	121239	suan
304	sui	243720	sui
305	sun	69029	sun
306	suo	604505	su
307	ta	2376365	tha
308	tai	412339	thai
309	tan	224714	than
310	tang	122309	thaN
311	tao	147601	thau
312	te	239091	th
313	teng	27136	thN
314	ti	724525	thi
315	tian	489761	thian
316	tiao	242251	thiau
317	tie	62877	thi
318	ting	314552	thiN
319	tong	909188	thuN
320	tou	400461	thu
321	tu	341681	thu
322	tuan	104151	thuan
323	tui	154449	thui
324	tun	14204	thun
325	tuo	121320	thu
326	wa	48764	ua
327	wai	300896	uai
328	wan	452252	uan
329	wang	545917	uaN
330	wei	2092014	ui
331	wen	695970	un
332	weng	8702	uN
333	wo	1749745	u
334	wu	1372087	u
335	xi	1082565	si
336	xia	734342	sia
337	xian	1167460	sian
338	xiang	1575940	siaN
339	xiao	868443	siau
340	xie	686105	si
341	xin	918778	sin
342	xing	1359245	siN
343	xiong	104841	siuN
344	xiu	129816	siu
345	xu	570666	sy
346	xuan	195599	syan
347	xue	572292	sy
348	xun	169768	suin
349	ya	289491	ia
350	yan	791181	ian
351	yang	698164	iaN
352	yao	988311	iau
353	ye	1240777	i
354	yi	5869055	i
355	yin	750738	in
356	ying	698618	iN
357	yo	3635	(N/A)
358	yong	652185	iuN
359	you	2746758	iu
360	yu	1713834	y
361	yuan	1024450	yan
362	yue	491401	y
363	yun	219022	uin
364	za	44146	tsa
365	zai	2252027	tsai
366	zan	60431	tsan
367	zang	55933	tsaN
368	zao	272008	tsau
369	ze	293345	ts
370	zei	7045	tsi
371	zen	112294	tsn
372	zeng	103042	tsN
373	zha	68234	a
374	zhai	50407	ai
375	zhan	584585	an
376	zhang	341340	aN
377	zhao	289937	au
378	zhe	2602857	
379	zhen	418098	n
380	zheng	983292	N
381	zhi	3185308	
382	zhong	2141356	uN
383	zhou	239028	u
384	zhu	958453	u
385	zhua	36094	ua
386	zhuai	1396	uai
387	zhuan	215756	uan
388	zhuang	220567	uaN
389	zhui	59572	ui
390	zhun	113877	un
391	zhuo	51036	u
392	zi	1589345	ts
393	zong	271651	tsuN
394	zou	208069	tsu
395	zu	344981	tsu
396	zuan	10064	tsuan
397	zui	392734	tsui
398	zun	36597	tsun
399	zuo	893830	tsu
